java.lang.String	java.lang.String	<java.lang.String: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.ClassValue$ClassValueMap classValueMap>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.Object[] enumConstants>
java.lang.Class	java.lang.Object	<java.lang.Class: java.util.Map enumConstantDirectory>
java.lang.Class	java.lang.Class	<java.lang.Class: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.invoke.MethodType	java.lang.invoke.MethodType	<java.lang.invoke.MethodType: java.lang.invoke.MethodType[] objectOnlyTypes>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.ThreadGroup[] groups>
java.lang.ThreadGroup	java.lang.Object	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.Thread$UncaughtExceptionHandler	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector classes>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.concurrent.ConcurrentHashMap parallelLockMap>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.Set domains>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.HashMap packages>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector systemNativeLibraries>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector loadedLibraryNames>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Stack nativeLibraryContext>
java.lang.invoke.MethodHandles$Lookup	java.lang.Object	<java.lang.invoke.MethodHandles$Lookup: java.util.concurrent.ConcurrentHashMap LOOKASIDE_TABLE>
java.lang.System	java.lang.Object	<java.lang.System: java.util.Properties props>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List SUPPRESSED_SENTINEL>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] a>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] tmp>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] a>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] tmp>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.List EMPTY_LIST>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Set EMPTY_SET>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Map EMPTY_MAP>
javafx.collections.FXCollections$CheckedObservableList	java.lang.Object	<javafx.collections.FXCollections$CheckedObservableList: javafx.collections.ObservableList list>
javafx.scene.chart.XYChart$Series$4$1	java.lang.Object	<javafx.scene.chart.XYChart$Series$4$1: java.util.List val$removed>
javafx.beans.binding.Bindings$82	java.lang.Object	<javafx.beans.binding.Bindings$82: javafx.collections.ObservableList val$op>
javafx.beans.binding.Bindings$59	javafx.beans.Observable	<javafx.beans.binding.Bindings$59: javafx.beans.Observable[] val$dependencies>
com.sun.javafx.collections.VetoableListDecorator$VetoableSubListDecorator	java.lang.Object	<com.sun.javafx.collections.VetoableListDecorator$VetoableSubListDecorator: java.util.List subList>
com.sun.javafx.collections.VetoableListDecorator$VetoableSubListDecorator	java.lang.Object	<com.sun.javafx.collections.VetoableListDecorator$VetoableSubListDecorator: com.sun.javafx.collections.VetoableListDecorator this$0>
com.sun.webkit.network.DateParser	java.lang.Object	<com.sun.webkit.network.DateParser: java.util.Map MONTH_MAP>
javafx.scene.input.ScrollEvent$HorizontalTextScrollUnits	javafx.scene.input.ScrollEvent$HorizontalTextScrollUnits	<javafx.scene.input.ScrollEvent$HorizontalTextScrollUnits: javafx.scene.input.ScrollEvent$HorizontalTextScrollUnits[] $VALUES>
javafx.scene.control.TreeView	java.lang.Object	<javafx.scene.control.TreeView: java.util.Map treeItemCacheMap>
javafx.scene.control.DialogPane	java.lang.Object	<javafx.scene.control.DialogPane: java.util.Map buttonNodes>
javafx.scene.control.DialogPane	javafx.scene.Node	<javafx.scene.control.DialogPane: java.util.Map buttonNodes>
javafx.beans.binding.Bindings$79	java.lang.Object	<javafx.beans.binding.Bindings$79: javafx.collections.ObservableList val$op>
com.sun.javafx.scene.control.skin.ListViewSkin	java.lang.Object	<com.sun.javafx.scene.control.skin.ListViewSkin: javafx.collections.ObservableList listViewItems>
javafx.scene.control.ContentDisplay	javafx.scene.control.ContentDisplay	<javafx.scene.control.ContentDisplay: javafx.scene.control.ContentDisplay[] $VALUES>
com.sun.deploy.uitoolkit.impl.fx.ui.FXAppContext	java.lang.Object	<com.sun.deploy.uitoolkit.impl.fx.ui.FXAppContext: java.util.HashMap storage>
com.sun.javafx.css.StyleManager	java.lang.Object	<com.sun.javafx.css.StyleManager: java.util.Map cacheContainerMap>
com.sun.javafx.css.StyleManager	java.lang.Object	<com.sun.javafx.css.StyleManager: javafx.collections.ObservableList errors>
com.sun.javafx.css.StyleManager	java.lang.Object	<com.sun.javafx.css.StyleManager: java.util.List cacheMapKey>
com.sun.javafx.scene.control.skin.ComboBoxListViewSkin	java.lang.Object	<com.sun.javafx.scene.control.skin.ComboBoxListViewSkin: javafx.collections.ObservableList comboBoxItems>
com.sun.javafx.scene.control.skin.ComboBoxListViewSkin	java.lang.Object	<com.sun.javafx.scene.control.skin.ComboBoxListViewSkin: javafx.collections.ObservableList listViewItems>
javafx.geometry.VPos	javafx.geometry.VPos	<javafx.geometry.VPos: javafx.geometry.VPos[] $VALUES>
com.sun.webkit.perf.PerfLogger	java.lang.Object	<com.sun.webkit.perf.PerfLogger: java.util.Map loggers>
javafx.scene.control.ContextMenu	java.lang.Object	<javafx.scene.control.ContextMenu: javafx.collections.ObservableList items>
javafx.stage.Screen	java.lang.Object	<javafx.stage.Screen: javafx.collections.ObservableList screens>
javafx.stage.Screen	java.lang.Object	<javafx.stage.Screen: javafx.collections.ObservableList unmodifiableScreens>
com.sun.javafx.cursor.CursorFrame	java.lang.Object	<com.sun.javafx.cursor.CursorFrame: java.util.Map otherPlatformCursors>
javafx.beans.binding.Bindings$6	javafx.beans.Observable	<javafx.beans.binding.Bindings$6: javafx.beans.Observable[] val$dependencies>
com.sun.javafx.scene.control.behavior.SpinnerBehavior	java.lang.Object	<com.sun.javafx.scene.control.behavior.SpinnerBehavior: java.util.List SPINNER_BINDINGS>
javafx.beans.binding.Bindings$13	javafx.beans.Observable	<javafx.beans.binding.Bindings$13: javafx.beans.Observable[] val$dependencies>
com.sun.javafx.scene.control.behavior.TabPaneBehavior	java.lang.Object	<com.sun.javafx.scene.control.behavior.TabPaneBehavior: java.util.List TAB_PANE_BINDINGS>
javafx.scene.chart.BarChart$StyleableProperties	java.lang.Object	<javafx.scene.chart.BarChart$StyleableProperties: java.util.List STYLEABLES>
com.sun.prism.sw.SWResourceFactory	java.lang.Object	<com.sun.prism.sw.SWResourceFactory: java.util.Map clampTexCache>
com.sun.prism.sw.SWResourceFactory	java.lang.Object	<com.sun.prism.sw.SWResourceFactory: java.util.Map repeatTexCache>
com.sun.prism.sw.SWResourceFactory	java.lang.Object	<com.sun.prism.sw.SWResourceFactory: java.util.Map mipmapTexCache>
javafx.scene.chart.LineChart$SortingPolicy	javafx.scene.chart.LineChart$SortingPolicy	<javafx.scene.chart.LineChart$SortingPolicy: javafx.scene.chart.LineChart$SortingPolicy[] $VALUES>
com.sun.javafx.font.WindowsFontMap	java.lang.Object	<com.sun.javafx.font.WindowsFontMap: java.util.HashMap platformFontMap>
com.sun.javafx.sg.prism.NodeEffectInput$RenderType	com.sun.javafx.sg.prism.NodeEffectInput$RenderType	<com.sun.javafx.sg.prism.NodeEffectInput$RenderType: com.sun.javafx.sg.prism.NodeEffectInput$RenderType[] $VALUES>
com.sun.deploy.uitoolkit.impl.fx.ui.resources.Deployment	java.lang.Object	<com.sun.deploy.uitoolkit.impl.fx.ui.resources.Deployment: java.lang.Object[][] contents>
javafx.beans.binding.Bindings$86	java.lang.Object	<javafx.beans.binding.Bindings$86: javafx.collections.ObservableSet val$op>
javafx.geometry.Side	javafx.geometry.Side	<javafx.geometry.Side: javafx.geometry.Side[] $VALUES>
javafx.fxml.FXMLLoader$SupportedType	javafx.fxml.FXMLLoader$SupportedType	<javafx.fxml.FXMLLoader$SupportedType: javafx.fxml.FXMLLoader$SupportedType[] $VALUES>
javafx.scene.layout.GridPane	java.lang.Object	<javafx.scene.layout.GridPane: java.util.List[] rowBaseline>
javafx.scene.layout.GridPane	javafx.scene.Node	<javafx.scene.layout.GridPane: java.util.List[] rowBaseline>
javafx.collections.FXCollections$SynchronizedObservableMap	java.lang.Object	<javafx.collections.FXCollections$SynchronizedObservableMap: javafx.collections.ObservableMap backingMap>
com.sun.javafx.scene.control.behavior.MenuButtonBehaviorBase	java.lang.Object	<com.sun.javafx.scene.control.behavior.MenuButtonBehaviorBase: java.util.List BASE_MENU_BUTTON_BINDINGS>
