java.lang.String	java.lang.String	<java.lang.String: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.ClassValue$ClassValueMap classValueMap>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.Object[] enumConstants>
java.lang.Class	java.lang.Object	<java.lang.Class: java.util.Map enumConstantDirectory>
java.lang.Class	java.lang.Class	<java.lang.Class: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.invoke.MethodType	java.lang.invoke.MethodType	<java.lang.invoke.MethodType: java.lang.invoke.MethodType[] objectOnlyTypes>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.ThreadGroup[] groups>
java.lang.ThreadGroup	java.lang.Object	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.Thread$UncaughtExceptionHandler	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector classes>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.concurrent.ConcurrentHashMap parallelLockMap>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.Set domains>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.HashMap packages>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector systemNativeLibraries>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector loadedLibraryNames>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Stack nativeLibraryContext>
java.lang.invoke.MethodHandles$Lookup	java.lang.Object	<java.lang.invoke.MethodHandles$Lookup: java.util.concurrent.ConcurrentHashMap LOOKASIDE_TABLE>
java.lang.System	java.lang.Object	<java.lang.System: java.util.Properties props>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List SUPPRESSED_SENTINEL>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] a>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] tmp>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] a>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] tmp>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Set EMPTY_SET>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.List EMPTY_LIST>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Map EMPTY_MAP>
org.bson.codecs.pojo.PropertyMetadata	java.lang.Object	<org.bson.codecs.pojo.PropertyMetadata: java.util.List typeParameters>
com.mongodb.operation.AggregateToCollectionOperation	java.lang.Object	<com.mongodb.operation.AggregateToCollectionOperation: org.bson.BsonDocument hint>
com.mongodb.client.gridfs.GridFSUploadStreamImpl	java.lang.Object	<com.mongodb.client.gridfs.GridFSUploadStreamImpl: org.bson.Document metadata>
com.mongodb.internal.validator.MappedFieldNameValidator	org.bson.FieldNameValidator	<com.mongodb.internal.validator.MappedFieldNameValidator: java.util.Map fieldNameToValidatorMap>
com.mongodb.operation.CommandOperationHelper	java.lang.Object	<com.mongodb.operation.CommandOperationHelper: java.util.List RETRYABLE_ERROR_CODES>
org.bson.codecs.configuration.ProvidersCodecRegistry	org.bson.codecs.configuration.CodecProvider	<org.bson.codecs.configuration.ProvidersCodecRegistry: java.util.List codecProviders>
com.mongodb.client.model.ValidationLevel	com.mongodb.client.model.ValidationLevel	<com.mongodb.client.model.ValidationLevel: com.mongodb.client.model.ValidationLevel[] $VALUES>
com.mongodb.WriteError	java.lang.Object	<com.mongodb.WriteError: org.bson.BsonDocument details>
org.bson.util.ClassMap	java.lang.Object	<org.bson.util.ClassMap: java.util.Map cache>
org.bson.util.ClassMap	java.lang.Object	<org.bson.util.ClassMap: java.util.Map map>
com.mongodb.internal.connection.QueryProtocol	java.lang.Object	<com.mongodb.internal.connection.QueryProtocol: org.bson.BsonDocument queryDocument>
com.mongodb.internal.connection.QueryProtocol	java.lang.Object	<com.mongodb.internal.connection.QueryProtocol: org.bson.BsonDocument fields>
com.mongodb.internal.connection.QueryProtocol	java.lang.Object	<com.mongodb.internal.connection.QueryProtocol: java.util.Map META_OPERATOR_TO_COMMAND_FIELD_MAP>
com.mongodb.client.model.CollationStrength	com.mongodb.client.model.CollationStrength	<com.mongodb.client.model.CollationStrength: com.mongodb.client.model.CollationStrength[] $VALUES>
org.bson.codecs.pojo.Conventions	java.lang.Object	<org.bson.codecs.pojo.Conventions: java.util.List DEFAULT_CONVENTIONS>
org.bson.codecs.pojo.Conventions	java.lang.Object	<org.bson.codecs.pojo.Conventions: java.util.List NO_CONVENTIONS>
com.mongodb.operation.ChangeStreamOperation	java.lang.Object	<com.mongodb.operation.ChangeStreamOperation: org.bson.BsonDocument resumeToken>
com.mongodb.client.model.ReturnDocument	com.mongodb.client.model.ReturnDocument	<com.mongodb.client.model.ReturnDocument: com.mongodb.client.model.ReturnDocument[] $VALUES>
com.mongodb.connection.SplittablePayload$Type	com.mongodb.connection.SplittablePayload$Type	<com.mongodb.connection.SplittablePayload$Type: com.mongodb.connection.SplittablePayload$Type[] $VALUES>
org.bson.BsonDocumentWriter	java.lang.Object	<org.bson.BsonDocumentWriter: org.bson.BsonDocument document>
org.bson.types.StringRangeSet$1	java.lang.Object	<org.bson.types.StringRangeSet$1: org.bson.types.StringRangeSet this$0>
com.mongodb.internal.connection.SaslAuthenticator$Continuator	java.lang.Object	<com.mongodb.internal.connection.SaslAuthenticator$Continuator: org.bson.BsonDocument saslStartDocument>
com.mongodb.AggregationOptions$OutputMode	com.mongodb.AggregationOptions$OutputMode	<com.mongodb.AggregationOptions$OutputMode: com.mongodb.AggregationOptions$OutputMode[] $VALUES>
com.mongodb.client.model.Indexes$1	java.lang.Object	<com.mongodb.client.model.Indexes$1: java.util.List val$indexes>
com.mongodb.bulk.InsertRequest	java.lang.Object	<com.mongodb.bulk.InsertRequest: org.bson.BsonDocument document>
com.mongodb.event.ServerMonitorEventMulticaster	com.mongodb.event.ServerMonitorListener	<com.mongodb.event.ServerMonitorEventMulticaster: java.util.List serverMonitorListeners>
com.mongodb.client.model.CollationAlternate	com.mongodb.client.model.CollationAlternate	<com.mongodb.client.model.CollationAlternate: com.mongodb.client.model.CollationAlternate[] $VALUES>
com.mongodb.client.model.Filters$OrNorFilter$Operator	com.mongodb.client.model.Filters$OrNorFilter$Operator	<com.mongodb.client.model.Filters$OrNorFilter$Operator: com.mongodb.client.model.Filters$OrNorFilter$Operator[] $VALUES>
org.bson.codecs.jsr310.Jsr310CodecProvider	java.lang.Object	<org.bson.codecs.jsr310.Jsr310CodecProvider: java.util.Map JSR310_CODEC_MAP>
org.bson.codecs.pojo.PojoCodecProvider	java.lang.Object	<org.bson.codecs.pojo.PojoCodecProvider: java.util.Map classModels>
org.bson.util.AbstractCopyOnWriteMap$Values	java.lang.Object	<org.bson.util.AbstractCopyOnWriteMap$Values: org.bson.util.AbstractCopyOnWriteMap this$0>
com.mongodb.client.gridfs.model.GridFSFile	java.lang.Object	<com.mongodb.client.gridfs.model.GridFSFile: org.bson.Document metadata>
com.mongodb.client.gridfs.model.GridFSFile	java.lang.Object	<com.mongodb.client.gridfs.model.GridFSFile: org.bson.Document extraElements>
com.mongodb.operation.CommandOperationHelper$6	java.lang.Object	<com.mongodb.operation.CommandOperationHelper$6: org.bson.BsonDocument val$command>
com.mongodb.client.model.geojson.GeometryCollection	com.mongodb.client.model.geojson.Geometry	<com.mongodb.client.model.geojson.GeometryCollection: java.util.List geometries>
com.mongodb.internal.event.ServerListenerMulticaster	com.mongodb.event.ServerListener	<com.mongodb.internal.event.ServerListenerMulticaster: java.util.List serverListeners>
com.mongodb.client.model.changestream.ChangeStreamDocument	java.lang.Object	<com.mongodb.client.model.changestream.ChangeStreamDocument: org.bson.BsonDocument resumeToken>
com.mongodb.client.model.changestream.ChangeStreamDocument	java.lang.Object	<com.mongodb.client.model.changestream.ChangeStreamDocument: org.bson.BsonDocument namespaceDocument>
com.mongodb.client.model.changestream.ChangeStreamDocument	java.lang.Object	<com.mongodb.client.model.changestream.ChangeStreamDocument: org.bson.BsonDocument documentKey>
org.bson.RawBsonArray$RawBsonArrayList$Itr	java.lang.Object	<org.bson.RawBsonArray$RawBsonArrayList$Itr: org.bson.RawBsonArray$RawBsonArrayList this$0>
com.mongodb.gridfs.GridFSFile	java.lang.Object	<com.mongodb.gridfs.GridFSFile: java.util.Set VALID_FIELDS>
com.mongodb.selector.CompositeServerSelector	com.mongodb.selector.ServerSelector	<com.mongodb.selector.CompositeServerSelector: java.util.List serverSelectors>
com.mongodb.DB	com.mongodb.DB	<com.mongodb.DB: java.util.concurrent.ConcurrentHashMap collectionCache>
com.mongodb.DB	java.lang.Object	<com.mongodb.DB: java.util.Set OBEDIENT_COMMANDS>
com.mongodb.internal.connection.CompositeByteBuf	org.bson.ByteBuf	<com.mongodb.internal.connection.CompositeByteBuf: java.util.List components>
