java.lang.String	java.lang.String	<java.lang.String: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.ClassValue$ClassValueMap classValueMap>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.Object[] enumConstants>
java.lang.Class	java.lang.Object	<java.lang.Class: java.util.Map enumConstantDirectory>
java.lang.Class	java.lang.Class	<java.lang.Class: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.invoke.MethodType	java.lang.invoke.MethodType	<java.lang.invoke.MethodType: java.lang.invoke.MethodType[] objectOnlyTypes>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.ThreadGroup[] groups>
java.lang.ThreadGroup	java.lang.Object	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.Thread$UncaughtExceptionHandler	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector classes>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.concurrent.ConcurrentHashMap parallelLockMap>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.Set domains>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.HashMap packages>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector systemNativeLibraries>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector loadedLibraryNames>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Stack nativeLibraryContext>
java.lang.invoke.MethodHandles$Lookup	java.lang.Object	<java.lang.invoke.MethodHandles$Lookup: java.util.concurrent.ConcurrentHashMap LOOKASIDE_TABLE>
java.lang.System	java.lang.Object	<java.lang.System: java.util.Properties props>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List SUPPRESSED_SENTINEL>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] a>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] tmp>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] a>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] tmp>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Set EMPTY_SET>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.List EMPTY_LIST>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Map EMPTY_MAP>
org.bouncycastle.asn1.pkcs.AuthenticatedSafe	org.bouncycastle.asn1.ASN1Encodable	<org.bouncycastle.asn1.pkcs.AuthenticatedSafe: org.bouncycastle.asn1.pkcs.ContentInfo[] info>
org.bouncycastle.openssl.jcajce.JcaMiscPEMGenerator	java.lang.Object	<org.bouncycastle.openssl.jcajce.JcaMiscPEMGenerator: java.security.Provider provider>
org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences$NON_FULL_SCREEN_PAGE_MODE	org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences$NON_FULL_SCREEN_PAGE_MODE	<org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences$NON_FULL_SCREEN_PAGE_MODE: org.apache.pdfbox.pdmodel.interactive.viewerpreferences.PDViewerPreferences$NON_FULL_SCREEN_PAGE_MODE[] $VALUES>
org.apache.pdfbox.jbig2.util.cache.SoftReferenceCache	java.lang.Object	<org.apache.pdfbox.jbig2.util.cache.SoftReferenceCache: java.util.HashMap cache>
org.bouncycastle.operator.DefaultSecretKeySizeProvider	java.lang.Object	<org.bouncycastle.operator.DefaultSecretKeySizeProvider: java.util.Map KEY_SIZES>
org.bouncycastle.operator.DefaultAlgorithmNameFinder	java.lang.Object	<org.bouncycastle.operator.DefaultAlgorithmNameFinder: java.util.Map algorithms>
org.bouncycastle.mail.smime.validator.SignedMailValidator$ValidationResult	java.lang.Object	<org.bouncycastle.mail.smime.validator.SignedMailValidator$ValidationResult: java.util.List errors>
org.bouncycastle.mail.smime.validator.SignedMailValidator$ValidationResult	java.lang.Object	<org.bouncycastle.mail.smime.validator.SignedMailValidator$ValidationResult: java.util.List notifications>
org.bouncycastle.mail.smime.validator.SignedMailValidator$ValidationResult	java.lang.Object	<org.bouncycastle.mail.smime.validator.SignedMailValidator$ValidationResult: java.util.List userProvidedCerts>
org.apache.pdfbox.pdmodel.common.function.type4.Parser$State	org.apache.pdfbox.pdmodel.common.function.type4.Parser$State	<org.apache.pdfbox.pdmodel.common.function.type4.Parser$State: org.apache.pdfbox.pdmodel.common.function.type4.Parser$State[] $VALUES>
org.bouncycastle.asn1.x509.X509Extensions	java.lang.Object	<org.bouncycastle.asn1.x509.X509Extensions: java.util.Hashtable extensions>
org.bouncycastle.asn1.x509.X509Extensions	java.lang.Object	<org.bouncycastle.asn1.x509.X509Extensions: java.util.Vector ordering>
org.bouncycastle.crypto.tls.ServerNameList	java.lang.Object	<org.bouncycastle.crypto.tls.ServerNameList: java.util.Vector serverNameList>
org.bouncycastle.cms.OriginatorInfoGenerator	java.lang.Object	<org.bouncycastle.cms.OriginatorInfoGenerator: java.util.List origCerts>
org.bouncycastle.cms.OriginatorInfoGenerator	java.lang.Object	<org.bouncycastle.cms.OriginatorInfoGenerator: java.util.List origCRLs>
org.bouncycastle.cert.path.CertPathValidationResult	java.lang.Object	<org.bouncycastle.cert.path.CertPathValidationResult: java.util.Set unhandledCriticalExtensionOIDs>
org.bouncycastle.cert.ocsp.OCSPUtils	java.lang.Object	<org.bouncycastle.cert.ocsp.OCSPUtils: java.util.Set EMPTY_SET>
org.bouncycastle.cert.ocsp.OCSPUtils	java.lang.Object	<org.bouncycastle.cert.ocsp.OCSPUtils: java.util.List EMPTY_LIST>
org.bouncycastle.cms.jcajce.JceKTSKeyTransRecipient	java.lang.Object	<org.bouncycastle.cms.jcajce.JceKTSKeyTransRecipient: java.util.Map extraMappings>
org.bouncycastle.cert.ocsp.BasicOCSPRespBuilder	java.lang.Object	<org.bouncycastle.cert.ocsp.BasicOCSPRespBuilder: java.util.List list>
org.bouncycastle.cms.DefaultAuthenticatedAttributeTableGenerator	java.lang.Object	<org.bouncycastle.cms.DefaultAuthenticatedAttributeTableGenerator: java.util.Hashtable table>
org.apache.fontbox.encoding.MacRomanEncoding	java.lang.Object	<org.apache.fontbox.encoding.MacRomanEncoding: java.lang.Object[][] MAC_ROMAN_ENCODING_TABLE>
org.bouncycastle.voms.VOMSAttribute	java.lang.Object	<org.bouncycastle.voms.VOMSAttribute: java.util.List myStringList>
org.bouncycastle.voms.VOMSAttribute	java.lang.Object	<org.bouncycastle.voms.VOMSAttribute: java.util.List myFQANs>
org.apache.fontbox.cff.Type2CharString	java.lang.Object	<org.apache.fontbox.cff.Type2CharString: java.util.List type2sequence>
org.bouncycastle.eac.operator.jcajce.ProviderEACHelper	java.lang.Object	<org.bouncycastle.eac.operator.jcajce.ProviderEACHelper: java.security.Provider provider>
org.bouncycastle.asn1.x509.GeneralNamesBuilder	java.lang.Object	<org.bouncycastle.asn1.x509.GeneralNamesBuilder: java.util.Vector names>
org.bouncycastle.crypto.tls.CertificateURL	java.lang.Object	<org.bouncycastle.crypto.tls.CertificateURL: java.util.Vector urlAndHashList>
org.bouncycastle.cms.CMSEnvelopedGenerator	java.lang.Object	<org.bouncycastle.cms.CMSEnvelopedGenerator: java.util.List recipientInfoGenerators>
org.bouncycastle.cms.CMSEnvelopedGenerator	java.lang.Object	<org.bouncycastle.cms.CMSEnvelopedGenerator: java.util.List oldRecipientInfoGenerators>
org.bouncycastle.cert.jcajce.ProviderCertHelper	java.lang.Object	<org.bouncycastle.cert.jcajce.ProviderCertHelper: java.security.Provider provider>
org.bouncycastle.cert.cmp.ProtectedPKIMessageBuilder	java.lang.Object	<org.bouncycastle.cert.cmp.ProtectedPKIMessageBuilder: java.util.List generalInfos>
org.bouncycastle.cert.cmp.ProtectedPKIMessageBuilder	java.lang.Object	<org.bouncycastle.cert.cmp.ProtectedPKIMessageBuilder: java.util.List extraCerts>
org.apache.fontbox.cff.CFFExpertSubsetCharset	java.lang.Object	<org.apache.fontbox.cff.CFFExpertSubsetCharset: java.lang.Object[][] CFF_EXPERT_SUBSET_CHARSET_TABLE>
org.apache.pdfbox.io.RandomAccessBuffer	java.lang.Object	<org.apache.pdfbox.io.RandomAccessBuffer: java.util.List bufferList>
org.apache.fontbox.cff.CFFExpertCharset	java.lang.Object	<org.apache.fontbox.cff.CFFExpertCharset: java.lang.Object[][] CFF_EXPERT_CHARSET_TABLE>
org.bouncycastle.crypto.util.DERMacData$Type	org.bouncycastle.crypto.util.DERMacData$Type	<org.bouncycastle.crypto.util.DERMacData$Type: org.bouncycastle.crypto.util.DERMacData$Type[] $VALUES>
org.bouncycastle.crypto.tls.DefaultTlsSRPGroupVerifier	java.lang.Object	<org.bouncycastle.crypto.tls.DefaultTlsSRPGroupVerifier: java.util.Vector groups>
