java.lang.String	java.lang.String	<java.lang.String: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.ClassValue$ClassValueMap classValueMap>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.Object[] enumConstants>
java.lang.Class	java.lang.Object	<java.lang.Class: java.util.Map enumConstantDirectory>
java.lang.Class	java.lang.Class	<java.lang.Class: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.invoke.MethodType	java.lang.invoke.MethodType	<java.lang.invoke.MethodType: java.lang.invoke.MethodType[] objectOnlyTypes>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.ThreadGroup[] groups>
java.lang.ThreadGroup	java.lang.Object	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.Thread$UncaughtExceptionHandler	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector classes>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.concurrent.ConcurrentHashMap parallelLockMap>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.Set domains>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.HashMap packages>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector systemNativeLibraries>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector loadedLibraryNames>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Stack nativeLibraryContext>
java.lang.invoke.MethodHandles$Lookup	java.lang.Object	<java.lang.invoke.MethodHandles$Lookup: java.util.concurrent.ConcurrentHashMap LOOKASIDE_TABLE>
java.lang.System	java.lang.Object	<java.lang.System: java.util.Properties props>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List SUPPRESSED_SENTINEL>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.lang.Throwable[] EMPTY_THROWABLE_ARRAY>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] a>
java.util.TimSort	java.lang.Object	<java.util.TimSort: java.lang.Object[] tmp>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] a>
java.util.ComparableTimSort	java.lang.Object	<java.util.ComparableTimSort: java.lang.Object[] tmp>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Map EMPTY_MAP>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.Set EMPTY_SET>
java.util.Collections	java.lang.Object	<java.util.Collections: java.util.List EMPTY_LIST>
org.apache.sanselan.formats.tiff.write.TiffOutputSummary	java.lang.Object	<org.apache.sanselan.formats.tiff.write.TiffOutputSummary: java.util.List offsetItems>
org.apache.sanselan.formats.tiff.write.TiffOutputSummary	java.lang.Object	<org.apache.sanselan.formats.tiff.write.TiffOutputSummary: java.util.List imageDataItems>
org.apache.sanselan.formats.tiff.write.TiffOutputSummary	java.lang.Object	<org.apache.sanselan.formats.tiff.write.TiffOutputSummary: java.util.Map directoryTypeMap>
org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$JFIFPieces	java.lang.Object	<org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$JFIFPieces: java.util.List pieces>
org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$JFIFPieces	java.lang.Object	<org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$JFIFPieces: java.util.List segmentPieces>
org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$1	java.lang.Object	<org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$1: java.util.ArrayList val$pieces>
org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$1	java.lang.Object	<org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$1: java.util.List val$exifPieces>
org.apache.sanselan.formats.tiff.TiffField	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffField: java.util.Map EXIF_TAG_MAP>
org.apache.sanselan.formats.tiff.TiffField	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffField: java.util.Map GPS_TAG_MAP>
org.apache.sanselan.formats.tiff.TiffField	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffField: java.util.Map TIFF_TAG_MAP>
org.apache.sanselan.formats.tiff.TiffField	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffField: java.util.Map ALL_TAG_MAP>
org.apache.sanselan.formats.gif.ImageContents	java.lang.Object	<org.apache.sanselan.formats.gif.ImageContents: java.util.ArrayList blocks>
org.apache.sanselan.common.ImageMetadata	java.lang.Object	<org.apache.sanselan.common.ImageMetadata: java.util.ArrayList items>
org.apache.sanselan.palette.QuantizedPalette	java.lang.Object	<org.apache.sanselan.palette.QuantizedPalette: java.util.ArrayList subsets>
org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$JFIFPieces	java.lang.Object	<org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$JFIFPieces: java.util.List pieces>
org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$JFIFPieces	java.lang.Object	<org.apache.sanselan.formats.jpeg.exifRewrite.ExifRewriter$JFIFPieces: java.util.List exifPieces>
org.apache.sanselan.ImageInfo	java.lang.Object	<org.apache.sanselan.ImageInfo: java.util.ArrayList comments>
org.apache.sanselan.formats.png.PngImageInfo	java.lang.Object	<org.apache.sanselan.formats.png.PngImageInfo: java.util.List textChunks>
org.apache.sanselan.formats.gif.GenericGIFBlock	java.lang.Object	<org.apache.sanselan.formats.gif.GenericGIFBlock: java.util.ArrayList subblocks>
org.apache.sanselan.formats.jpeg.iptc.PhotoshopApp13Data	java.lang.Object	<org.apache.sanselan.formats.jpeg.iptc.PhotoshopApp13Data: java.util.List records>
org.apache.sanselan.formats.jpeg.iptc.PhotoshopApp13Data	java.lang.Object	<org.apache.sanselan.formats.jpeg.iptc.PhotoshopApp13Data: java.util.List rawBlocks>
org.apache.sanselan.formats.tiff.TiffContents	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffContents: java.util.ArrayList directories>
org.apache.sanselan.palette.MedianCutQuantizer$ColorGroup	java.lang.Object	<org.apache.sanselan.palette.MedianCutQuantizer$ColorGroup: java.util.ArrayList color_counts>
org.apache.sanselan.formats.jpeg.iptc.IPTCTypeLookup	java.lang.Object	<org.apache.sanselan.formats.jpeg.iptc.IPTCTypeLookup: java.util.Map IPTC_TYPE_MAP>
org.apache.sanselan.formats.jpeg.JpegImageParser$5	java.lang.Object	<org.apache.sanselan.formats.jpeg.JpegImageParser$5: java.util.List val$result>
org.apache.sanselan.formats.tiff.write.TiffOutputDirectory	java.lang.Object	<org.apache.sanselan.formats.tiff.write.TiffOutputDirectory: java.util.ArrayList fields>
org.apache.sanselan.FormatCompliance	java.lang.Object	<org.apache.sanselan.FormatCompliance: java.util.ArrayList comments>
org.apache.sanselan.formats.jpeg.JpegImageParser$1	java.lang.Object	<org.apache.sanselan.formats.jpeg.JpegImageParser$1: java.util.ArrayList val$result>
org.apache.sanselan.common.mylzw.MyLZWCompressor	java.lang.Object	<org.apache.sanselan.common.mylzw.MyLZWCompressor: java.util.Map map>
org.apache.sanselan.formats.tiff.TiffDirectory	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffDirectory: java.util.ArrayList entries>
org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$1	java.lang.Object	<org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$1: java.util.ArrayList val$pieces>
org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$1	java.lang.Object	<org.apache.sanselan.formats.jpeg.xmp.JpegRewriter$1: java.util.List val$segmentPieces>
org.apache.sanselan.formats.tiff.TiffReader$Collector	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffReader$Collector: java.util.ArrayList directories>
org.apache.sanselan.formats.tiff.TiffReader$Collector	java.lang.Object	<org.apache.sanselan.formats.tiff.TiffReader$Collector: java.util.ArrayList fields>
org.apache.sanselan.formats.tiff.write.TiffOutputSet	java.lang.Object	<org.apache.sanselan.formats.tiff.write.TiffOutputSet: java.util.ArrayList directories>
java.util.SubList	java.lang.Object	<java.util.SubList: java.util.AbstractList l>
java.time.zone.ZoneOffsetTransitionRule$TimeDefinition	java.time.zone.ZoneOffsetTransitionRule$TimeDefinition	<java.time.zone.ZoneOffsetTransitionRule$TimeDefinition: java.time.zone.ZoneOffsetTransitionRule$TimeDefinition[] $VALUES>
java.util.stream.MatchOps$MatchKind	java.util.stream.MatchOps$MatchKind	<java.util.stream.MatchOps$MatchKind: java.util.stream.MatchOps$MatchKind[] $VALUES>
com.sun.media.sound.JDK13Services	java.lang.Object	<com.sun.media.sound.JDK13Services: java.util.Properties properties>
java.awt.AWTKeyStroke	java.lang.Object	<java.awt.AWTKeyStroke: java.util.Map modifierKeywords>
java.util.TreeMap$TreeMapSpliterator	java.lang.Object	<java.util.TreeMap$TreeMapSpliterator: java.util.TreeMap tree>
java.util.Collections$AsLIFOQueue	java.lang.Object	<java.util.Collections$AsLIFOQueue: java.util.Deque q>
