java.lang.String	java.lang.String	<java.lang.String: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.Object[] enumConstants>
java.lang.Class	java.lang.Object	<java.lang.Class: java.util.Map enumConstantDirectory>
java.lang.Class	java.lang.Object	<java.lang.Class: java.lang.ClassValue$ClassValueMap classValueMap>
java.lang.Class	java.lang.Class	<java.lang.Class: java.io.ObjectStreamField[] serialPersistentFields>
java.lang.invoke.MethodType	java.lang.invoke.MethodType	<java.lang.invoke.MethodType: java.lang.invoke.MethodType[] objectOnlyTypes>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.ThreadGroup[] groups>
java.lang.ThreadGroup	java.lang.Object	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.ThreadGroup	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ThreadGroup	java.lang.Thread$UncaughtExceptionHandler	<java.lang.ThreadGroup: java.lang.Thread[] threads>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector classes>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.concurrent.ConcurrentHashMap parallelLockMap>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.Set domains>
java.lang.ClassLoader	java.lang.ClassLoader	<java.lang.ClassLoader: java.util.HashMap packages>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector systemNativeLibraries>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Vector loadedLibraryNames>
java.lang.ClassLoader	java.lang.Object	<java.lang.ClassLoader: java.util.Stack nativeLibraryContext>
java.lang.invoke.MethodHandles$Lookup	java.lang.Object	<java.lang.invoke.MethodHandles$Lookup: java.util.concurrent.ConcurrentHashMap LOOKASIDE_TABLE>
java.lang.System	java.lang.Object	<java.lang.System: java.util.Properties props>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Throwable	<java.lang.Throwable: java.util.List suppressedExceptions>
java.lang.Throwable	java.lang.Object	<java.lang.Throwable: java.util.List SUPPRESSED_SENTINEL>
